group	module	version	licenseNames	licenseUrls	pomSha256
androidx.compose.runtime	runtime-android	1.11.3	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	fe64f3bc45354b62a18c0990af542fcae9db29b16d4625f7d86eec17c41ffcfd
androidx.compose.runtime	runtime-annotation	1.11.3	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	27859106da79cd1dedb74fd8f05b0caab7bb5d8f939c2240c392fa60c5cc962e
androidx.compose.runtime	runtime-annotation-android	1.11.3	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	34caaed1a00c35ebacd197df993b08a558e681397063d3fdbaeca9926fb25ef7
androidx.compose.runtime	runtime-retain	1.11.3	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	71e8bd2a74e5e772f20105b9ac7811226a51d39715bf8f29b766fd768195e59d
androidx.compose.runtime	runtime-retain-android	1.11.3	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	dae425041efb174f902669e868640ab7030aa4064287213ed04291feaea79661
androidx.compose.runtime	runtime-saveable	1.11.3	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	2a5c6cc5bbe79c3dfae10340eb2b9b5c55a8c7830ecf63c0743811a7207dea97
androidx.compose.runtime	runtime-saveable-android	1.11.3	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	1d3e2036b8eb1f4c945f437de1ac3d26030a013c77c39a191e1dcc414af76101
androidx.compose.ui	ui	1.11.3	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	0136ebc70b4ea453471c94c8b077798f80a2a96dbb5253510ede9e6a9a9d9d26
androidx.compose.ui	ui-android	1.11.3	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	7ed3581910ea7cfd1af5f6346c226bf5556d5a6e29db4b358f28ceff5f16d032
androidx.compose.ui	ui-geometry	1.11.3	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	99ac7f91814e42a08cc21c709a4eefbb65956e7ea60b6f9a7edd16101d3d19ad
androidx.compose.ui	ui-geometry-android	1.11.3	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	0ab80c3de29cfcf72c1f24a3dcffb697daa02115f9791c26d8de8f9a70f770be
androidx.compose.ui	ui-graphics	1.11.3	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	3d88bd3437e0ccc6ed95c2181acf8d528fce6e76bcdf76349a64afc8314add3e
androidx.compose.ui	ui-graphics-android	1.11.3	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	bcef16c88649dbfa7845fb5d4574bd3d73d9c50d029c5f699fbfc510d027e582
androidx.compose.ui	ui-text	1.11.3	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	f7bf3db87326483a83fae293d7e9443aeb5fed6ff29b994c13ed4c34a3d84aad
androidx.compose.ui	ui-text-android	1.11.3	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	554e61b61f61933e0b9fab87c197af1e5808738dd014df41db2de53f15dce545
androidx.compose.ui	ui-tooling-preview	1.11.3	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	f5fae2788458963a003639bb5814b8415c08b6cc5c165d14620404c56b5b1f29
androidx.compose.ui	ui-tooling-preview-android	1.11.3	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	a0111a1a044b020a85b253f822c11df8617484d227917d3d77ee4648353e2cf2
androidx.compose.ui	ui-unit	1.11.3	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	82f6c0aaba50438e24de9cb56c719cf1cf36fb4167fc727e1ab0ddb8b0d8346e
androidx.compose.ui	ui-unit-android	1.11.3	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	09be906d333708b8439054b748db21b2e91154640fefb34d88a5c08918a736e4
androidx.compose.ui	ui-util	1.11.3	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	6edd70df448bdfa874e1a70ce99094fce4bbc264b388669af75444da9c48594a
androidx.compose.ui	ui-util-android	1.11.3	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	459e37d23de0ddb905d7809841cc755db763f0a3182bad64a64dbc0d3832c29d
androidx.concurrent	concurrent-futures	1.1.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	748a34eb5d13d19d187adecaea82667fded5f1b0b98a655e13ed2e4a8b3d8ae6
androidx.core	core	1.19.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	1a99fe690775ed0e84788d5895f4a55664479176737ca0986336319ecfce8538
androidx.core	core-ktx	1.19.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	b8fe1568a1cb462c99c660cebaf80348c2dd1881054be5d9659c1a2589cc3ba8
androidx.core	core-viewtree	1.0.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	d4f2ed1176fa8c5612b80f74c952a8799142a9ed36022a1a238fde5b140580d9
androidx.cursoradapter	cursoradapter	1.0.0	UNDECLARED_IN_POM	UNDECLARED_IN_POM	POM_NOT_FOUND
androidx.customview	customview	1.0.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	ce9e47b87184f5bd5e139e9becd5b26476d42d78c31bf2fdedc37acb41b9ad49
androidx.customview	customview-poolingcontainer	1.0.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	9fa62196c4c4e79b6a58dbb38a8c022bef8db21989d7dae2da0f6f5b66289a9c
androidx.documentfile	documentfile	1.0.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	013288a9317a552706ce625fb24493e8223288529223ec578cf855a5ae9c16e5
androidx.drawerlayout	drawerlayout	1.0.0	UNDECLARED_IN_POM	UNDECLARED_IN_POM	POM_NOT_FOUND
androidx.dynamicanimation	dynamicanimation	1.0.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	44ce22ee620d28f17301bcc60ad49b69b7d0596c2a87b054ad1e3feac7b4a898
androidx.emoji2	emoji2	1.4.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	1f67221484f7d1260eb6e2b490cd4e7046bf5cb536276d79f972ad3f198b474d
androidx.emoji2	emoji2-views-helper	1.4.0	UNDECLARED_IN_POM	UNDECLARED_IN_POM	POM_NOT_FOUND
androidx.exifinterface	exifinterface	1.0.0	UNDECLARED_IN_POM	UNDECLARED_IN_POM	POM_NOT_FOUND
androidx.fragment	fragment	1.5.7	UNDECLARED_IN_POM	UNDECLARED_IN_POM	POM_NOT_FOUND
androidx.graphics	graphics-path	1.0.1	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	866fb357c7146f5f7678ad44e4bc6c2823d568defce1ed2805bb6c899606b228
androidx.interpolator	interpolator	1.0.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	0ddc07cc39699f48ecd9ec894b5830c0f09e22e82959294edf37217224c88b7b
androidx.legacy	legacy-support-core-utils	1.0.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	8fd093008b3ee7c06e52c78da2af980a7b47b69b967fa91dad7af466f7a00a38
androidx.lifecycle	lifecycle-common	2.11.0	The Apache Software License, Version 2.0	http://www.apache.org/licenses/LICENSE-2.0.txt	12b70a2d44383f97624307c6d9a3ff86e82657bb8ec300b95541ba48173edbac
